Coupled Climate Model growth over time,,,,,,,,
Model,Assessment,Year,Lat resolution,Lon resolution,# levels,# grid points,Notes,Link
,,,,,,,,See also: https://cera-www.dkrz.de/WDCC/ui/cerasearch/q
,,,,,,,,
GFDL,FAR,1989,4.500,3.750,12,4.608E+04,,https://www.nature.com/articles/342660a0.pdf
NCAR,FAR,1989,5.000,5.000,4,1.037E+04,,https://link.springer.com/content/pdf/10.1007/BF00207397.pdf
MPI,FAR,1990,4.000,4.000,11,4.455E+04,,https://link.springer.com/content/pdf/10.1007/BF00209163.pdf
UHH,FAR,1990,2.500,2.813,9,8.294E+04,,https://link.springer.com/content/pdf/10.1007/BF00211618.pdf
BMRC,SAR,1996,3.200,5.600,12,4.339E+04,,
CCC,SAR,1996,1.800,1.800,29,5.800E+05,,
CERFACS,SAR,1996,1.000,2.000,20,6.480E+05,,
COLA,SAR,1996,3.000,3.000,16,1.152E+05,,
CSIRO,SAR,1996,3.200,5.600,12,4.339E+04,,
GFDL ,SAR,1996,2.000,2.000,18,2.916E+05,,
GISS,SAR,1996,4.000,5.000,13,4.212E+04,,
GISS,SAR,1996,4.000,5.000,16,5.184E+04,,
IAP,SAR,1996,4.000,5.000,20,6.480E+04,,
LMD/OPA,SAR,1996,1.000,2.000,20,6.480E+05,,
MPI,SAR,1996,5.600,5.600,11,2.273E+04,,
MPI E2/OPYC,SAR,1996,2.800,2.800,9,7.439E+04,,
MRI,SAR,1996,1.000,2.500,21,5.443E+05,,
NCAR,SAR,1996,1.000,1.000,20,1.296E+06,,
UCLA,SAR,1996,1.000,1.000,15,9.720E+05,,
UKMO,SAR,1996,2.500,3.800,20,1.364E+05,,
ARPEGE/OPA1,TAR,2001,2.000,2.000,31,5.022E+05,,
ARPEGE/OPA2,TAR,2001,2.000,2.000,31,5.022E+05,,
BMRCa,TAR,2001,3.250,5.600,12,4.273E+04,,
BMRCb,TAR,2001,3.250,5.600,12,4.273E+04,,
CCSR/NIES,TAR,2001,2.800,2.800,17,1.405E+05,,
CGCM1,TAR,2001,1.800,1.800,29,5.800E+05,,
CGCM2,TAR,2001,1.800,1.800,29,5.800E+05,,
COLA1,TAR,2001,1.500,1.500,20,5.760E+05,,
COLA2,TAR,2001,3.000,3.000,20,1.440E+05,,
CSIRO Mk2,TAR,2001,3.200,5.600,21,7.594E+04,,
CSM 1.0,TAR,2001,2.000,2.400,45,6.075E+05,,
CSM 1.3,TAR,2001,2.000,2.400,45,6.075E+05,,
