"First ECMWF, then NCAR from: https://www.top500.org/site/48418/ and 47752",,,,,,
,,,,,,
Year,Machine,Cores,Rmax,RPeak,,
2020,Atos BullSequana XH2000,,"19,723,400","21,246,625",,
2016,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect","126,468","3,944,680","4,249,325",,
2016,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect","126,468","3,944,680","4,249,325",,
2014,"Cray XC30, Intel Xeon E5-2697v2 12C 2.7GHz, Aries interconnect","83,160","1,552,000","1,796,256",,
2011,"Power 775, POWER7 8C 3.836GHz, Custom Interconnect","24,576","635,111","754,188.3",,
2011,"Power 775, POWER7 8C 3.836GHz, Custom Interconnect","24,576","635,111","754,188.3",,
2008,"Power 575, p6 4.7 GHz, Infiniband","8,320","115,900","156,416",,
2009,"Power 575, p6 4.7 GHz, Infiniband","8,320","115,900","156,416",,
2011,"Power 775, POWER7 8C 3.84 GHz, Custom","4,096","102,044","125,698.1",,
2007,eServer pSeries p5 575 1.9 GHz,"2,480","16,202","18,848",,
2007,eServer pSeries p5 575 1.9 GHz,"2,480","16,202","18,848",,
2006,eServer pSeries p5 575 1.9 GHz,"2,240","13,990","17,024",,
2006,eServer pSeries p5 575 1.9 GHz,"2,240","13,990","17,024",,
2004,eServer pSeries 690 (1.9 GHz Power4+),"2,176","9,241","16,538",,
2004,eServer pSeries 690 (1.9 GHz Power4+),"2,176","9,241","16,538",,
2004,eServer pSeries 690 (1.9 GHz Power4+),"2,112","8,955","16,051",,
2002,pSeries 690 Turbo 1.3GHz,960,"2,560","4,992",,
2002,pSeries 690 Turbo 1.3GHz,960,"2,560","4,992",,
2004,eServer pSeries 690 (1.7 GHz Power4+),288,"1,222","1,958.4",,
2000,VPP5000/100,100,886,960,,
1999,VPP5000/38,38,345,364.8,,
1997,VPP700/116,116,213,255.2,,
1998,VPP700/48E,48,97.5,115.2,,
1996,VPP700/46,46,94.3,101.2,,
1997,VPP300/9,9,19.2,19.8,,
1994,Y-MP C916/16256,16,13.7,15.2,,
1993,Y-MP C916/16128,16,13.7,15.2,,
1994,T3D MCA128-8,128,12.8,19.2,,
1996,VPP300/4,4,8.6,8.8,,
2016,"Cheyenne - SGI ICE XA, Xeon E5-2697v4 18C 2.3GHz, Infiniband EDR","144,900","4,788,190","5,332,320",,
2012,"Yellowstone - iDataPlex DX360M4, Xeon E5-2670 8C 2.600GHz, Infiniband FDR","72,288","1,257,615","1,503,590",,
2008,"bluefire - Power 575, p6 4.7 GHz, Infiniband","4,064","59,684.1","76,403.2",,
2006,blueice - eServer pSeries p5 575 1.9 GHz,"1,696","11,080.0","12,889.6",,
2005,eServer Blue Gene Solution,"2,048","4,713","5,734",,
2003,pSeries 690 Turbo 1.3 GHz,"1,600","4,184","8,320",,
2005,eServer pSeries p5 575 1.9 GHz,608,"4,031","4,620.8",,
2002,pSeries 690 Turbo 1.3GHz,"1,216","3,164","6,323",,
2001,SP Power3 375 MHz 16 way,"1,260","1,382","1,890",,
2004,eServer Opteron 2.2 GHz. Myrinet,256,769.4,"1,126.4",,
2000,SP Power3 375 MHz,668,688,"1,002",,
1999,SP Power3 200 MHz,288,166.6,230.4,,
1998,ORIGIN 2000 250 MHz,128,51.4,64,,
1998,AlphaServer 4100 Cluster,32,18.0,39.2,,
1997,T3D MCA128-8,128,12.8,19.2,,
1997,Exemplar X-Class,16,7.8,11.5,,
1997,Exemplar X-Class,16,7.8,11.5,,
1994,T3D MCA64-8,64,6.4,9.6,,
1995,POWER CHALLENGE,16,3.7,4.8,,
1995,Y-MP J932/20-4096,20,3.6,4,,
1995,Y-MP J916/16-2048,16,2.2,3.2,,
1990,Y-MP8/864,8,2.1,2.7,,
1995,Y-MP8I/864,8,2.1,2.7,,
1993,CM-5/32,32,1.9,4.1,,
1994,CRAY-3/2-128,2,1.6,1.9,,
1994,Y-MP8I/564,5,1.4,1.7,,
1993,9076-001 SP1,8,0.7,1,,
1993,Y-MP2,2,0.6,0.7,,
