ECMWF From: https://www.top500.org/site/47752/,,,,,,
Year,Machine,Cores,Rmax,RPeak,,
,,,,,,
2020,Atos BullSequana XH2000,,"19,723,400","21,246,625",,
2016,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect","126,468","3,944,680","4,249,325",,
2016,"Cray XC40, Xeon E5-2695v4 18C 2.1GHz, Aries interconnect","126,468","3,944,680","4,249,325",,
2014,"Cray XC30, Intel Xeon E5-2697v2 12C 2.7GHz, Aries interconnect","83,160","1,552,000","1,796,256",,
2011,"Power 775, POWER7 8C 3.836GHz, Custom Interconnect","24,576","635,111","754,188.3",,
2011,"Power 775, POWER7 8C 3.836GHz, Custom Interconnect","24,576","635,111","754,188.3",,
2008,"Power 575, p6 4.7 GHz, Infiniband","8,320","115,900","156,416",,
2009,"Power 575, p6 4.7 GHz, Infiniband","8,320","115,900","156,416",,
2011,"Power 775, POWER7 8C 3.84 GHz, Custom","4,096","102,044","125,698.1",,
2007,eServer pSeries p5 575 1.9 GHz,"2,480","16,202","18,848",,
2007,eServer pSeries p5 575 1.9 GHz,"2,480","16,202","18,848",,
2006,eServer pSeries p5 575 1.9 GHz,"2,240","13,990","17,024",,
2006,eServer pSeries p5 575 1.9 GHz,"2,240","13,990","17,024",,
2004,eServer pSeries 690 (1.9 GHz Power4+),"2,176","9,241","16,538",,
2004,eServer pSeries 690 (1.9 GHz Power4+),"2,176","9,241","16,538",,
2004,eServer pSeries 690 (1.9 GHz Power4+),"2,112","8,955","16,051",,
2002,pSeries 690 Turbo 1.3GHz,960,"2,560","4,992",,
2002,pSeries 690 Turbo 1.3GHz,960,"2,560","4,992",,
2004,eServer pSeries 690 (1.7 GHz Power4+),288,"1,222","1,958.4",,
2000,VPP5000/100,100,886,960,,
1999,VPP5000/38,38,345,364.8,,
1997,VPP700/116,116,213,255.2,,
1998,VPP700/48E,48,97.5,115.2,,
1996,VPP700/46,46,94.3,101.2,,
1997,VPP300/9,9,19.2,19.8,,
1994,Y-MP C916/16256,16,13.7,15.2,,
1993,Y-MP C916/16128,16,13.7,15.2,,
1994,T3D MCA128-8,128,12.8,19.2,,
1996,VPP300/4,4,8.6,8.8,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
"
",,,,,,
