From: https://en.wikipedia.org/wiki/List_of_fastest_computers on 11Sep20,,,,,
Year,Country,Manufacturer,Machine,Speed,Unit
1938,Germany,Zuse	,Z1,1.00,IPS
1941,Germany,Zuse	,Z3,20,IPS
1946,USA,U. Penn.,ENIAC,5,kIPS
1951,USA,MIT,Whirlwind I,20,kIPS
1958,USA,IBM,AN/FSQ-7,75,kIPS
1960,USA,IBM,7090,229,kIPS
1960,USA,UNIVAC,LARC,250,kIPS
1961,USA,IBM,7030 Stretch,1.20,MIPS
1962,UK,U. Manchester,Atlas,1,MFLOPS
1964,USA,CDC,6600,3,MFLOPS
1969,USA,CDC,7600,36,MFLOPS
1974,USA,CDC,STAR-100,100,MFLOPS
1976,USA,Cray,Cray-1,160,MFLOPS
1983,USA,Cray,X-MP/4,713,MFLOPS
1985,USA,Cray,Cray-2,1.41,GFLOPS
1988,USA,Cray,Y-MP/832,2.14,GFLOPS
1990,Japan,Fujitsu,VP2600/10,4,GFLOPS
1992,Japan,NEC,SX-3/44,20,GFLOPS
1993,USA,Thinking Machines,CM-5/1024,59.70,GFLOPS
1993,Japan,Fujitsu,Numerical wind tunnel,124.0,GFLOPS
1994,USA,Intel,Paragon XP/S 140,143.40,GFLOPS
1994,Japan,Fujitsu,Numerical wind tunnel,170,GFLOPS
1996,Japan,Hitachi,SR2201,232.4,GFLOPS
1996,Japan,Hitachi,CP-PACS,368.2,GFLOPS
1997,USA,Intel,ASCI Red,1.06,TFLOPS
2000,USA,IBM,ASCI White,4.93,TFLOPS
2001,USA,IBM,ASCI White,7.20,TFLOPS
2002,Japan,NEC,Earth Simulator,35.86,TFLOPS
2004,USA,IBM,Blue Gene/L,70.72,TFLOPS
2005,USA,IBM,Blue Gene/L,136.8,TFLOPS
2005,USA,IBM,Blue Gene/L,280.6,TFLOPS
2007,USA,IBM,Blue Gene/L,478.2,TFLOPS
2008,USA,IBM,Roadrunner,1.02,PFLOPS
2008,USA,IBM,Roadrunner,1.10,PFLOPS
2009,USA,Cray,Jaguar,1.75,PFLOPS
2010,China,National U. Of Defense Tech.,Tianhe-1A,2.57,PFLOPS
2011,Japan,Fujitsu,K computer,10.51,PFLOPS
2012,USA,IBM,Sequoia (Blue Gene/Q),16.32,PFLOPS
2012,USA,Cray,Titan,17.59,PFLOPS
2013,China,National U. Of Defense Tech.,Tianhe-2,33.86,PFLOPS
2016,China,NRCPC,Sunway TiahuLight,93.01,PFLOPS
2018,USA,IBM,Summit,122.30,PFLOPS
2019,USA,IBM,Summit,148.6,PFLOPS
2020,Japan,Fujitsu,Fugaku,415.53,PFLOPS
